Steps,_std_act,ExplainedVarNew,_mean_discrew,_min_obs,KL,ExplainedVarOld,Beta,_std_discrew,ValFuncLoss,_mean_adv,_Episode,_std_obs,_std_adv,_lr_multiplier,_mean_act,PolicyLoss,_max_obs,_max_adv,_min_act,_mean_obs,_max_act,_max_discrew,_min_adv,PolicyEntropy,_MeanReward,_min_discrew
342,0.40342307,-5.351863661417502,0.005378021317902876,-7.150133015085047,0.016030991,-114.0394087636455,1.5,0.0002708036713472326,0.0018191531318737786,-1.1946259446258994e-16,20,0.3968377314362894,0.9999888757311922,1.0,0.077323504,-0.07446339,6.858145646828393,4.386856241413037,-2.4963136,0.000856985841323343,2.5889518,0.07136426680572834,-1.5231724953416776,5.514907,3.4174219495529634,-0.02549107885216652
328,0.37992704,0.13015652254770416,0.0027287449026752782,-2.690571790480768,0.009825106,-1.0167994347392515,2.25,0.00024284076267770322,0.00021664975282398711,8.12358310701334e-18,40,0.09326838792707108,0.9999065599810811,1.0,0.003628728,-0.06027002,1.0712876782661345,3.1577667860657876,-2.074468,-0.013536634380303102,1.8181596,0.049985422145693126,-3.647244378841248,5.528833,2.6294794907610344,-0.031236965615754026
439,0.38035145,0.15316295200706231,0.014502489205677163,-1.668641269672718,0.008990697,0.05031542482842921,3.375,0.0006127866125273934,0.0005422580779616416,6.474193492119364e-17,60,0.08202335813679788,0.9999043012394871,1.0,0.06349634,-0.03794459,1.1537857367521953,3.0139829954124036,-2.3206153,0.016708144137690374,2.1270316,0.10248517966254042,-2.3268868516577528,5.521054,7.0277136548179,-0.030232001662354645
581,0.36532775,0.26331279304233324,0.035733442334513886,-1.6425445310349138,0.0041519315,0.0376931336510099,3.375,0.003122461678715627,0.002366836950771248,4.891860487160759e-17,80,0.07979976913705907,0.9999519543942484,1.0,0.09802836,-0.0322995,1.0970061015364798,3.1853666668395517,-1.6876479,0.03569552544757479,2.4113035,0.23457948539071766,-1.7980038119266744,5.524237,12.84586256895266,-0.034166442297806965
576,0.3811922,0.4506721654581908,0.043459972081420606,-1.2541802233153279,0.004230532,0.07168830695414108,3.375,0.004620022979445908,0.0025585785368645994,4.9343245538895844e-17,100,0.07693059482736425,0.9999580779498962,1.0,0.089883454,-0.030621165,1.0175126493291295,3.1931023254422906,-2.03806,0.02575032296325197,3.00373,0.2219093242988891,-1.9339343006745744,5.498742,11.864515453174146,-0.04566956362317834
636,0.37992355,0.4039185819068779,0.019878171480823714,-1.4105565392581436,0.0034173848,0.0643309351907908,3.375,0.0016298021273416907,0.0009864694043770872,6.144630576541747e-17,120,0.07464618353378745,0.9999458279735107,1.0,0.099032596,-0.03120831,0.9729848606234124,3.536871994512433,-1.9888448,0.017354921110551574,2.2521927,0.17138578410108052,-3.1496094201555427,5.4578495,12.535053486076537,-0.057887165611791025
703,0.36527726,0.4474936168421154,0.03672327155301321,-1.4927411061770384,0.0040561287,-0.05081517329324914,3.375,0.002080872303931469,0.0012107621379440097,0.0,140,0.07537625709682963,0.9999517571802253,1.0,0.11858296,-0.031198094,1.110503210303248,2.93332650991248,-2.1707618,0.025407677578121034,2.1909046,0.16648063696379847,-3.33145121921612,5.4551864,16.801050618348942,-0.04792605657978616
1089,0.37111458,0.8651361841732633,0.18119637471659591,-1.83307631275073,0.0033586686,0.06045282377173877,3.375,0.07974549431127685,0.01086139621690818,-1.0439562692526724e-16,160,0.08612707973454514,0.9999819426241658,1.0,0.13578556,-0.030945946,1.8529606277361625,2.969671039158045,-1.9742285,0.03842341786873239,2.5583925,0.9786059494156744,-1.6971697478923387,5.4395285,40.01881983389759,-0.05908372543185085
1068,0.34926045,0.5878573164264158,0.028918242237508364,-1.2304133753058406,0.001785904,-0.24638479612679576,3.375,0.008381789500772889,0.0034616426371210335,-6.653021870412923e-18,180,0.07843076223149234,0.9999769542153801,1.0,0.13271505,-0.020635111,1.3007625698094463,3.509409768576449,-2.3176587,0.016710590211882724,2.2972858,0.33092229576767146,-5.203408012075893,5.442689,20.0108371996161,-0.15049718996230563
1219,0.36352345,0.7165429172764312,0.14124008761043216,-1.1975066005233475,0.002231313,0.07992827515139755,3.375,0.04343175352659812,0.01231110137753933,1.1657797141264975e-17,200,0.07647268994373964,0.9999879480550947,1.0,0.13718788,-0.02265587,1.6449975062879412,3.586601680677937,-2.2114892,0.04127335559677821,2.5277848,0.7367478838262529,-5.448707119018243,5.4591,44.36405967094752,-0.16908795747998312
