_MeanReward,_Episode
14.382449222980174,20
18.15513804314255,40
15.283403831641285,60
19.602751945152075,80
44.48289163369381,100
31.3272621293172,120
41.56943338351333,140
93.9750737636112,160
96.59668917800192,180
133.2148190611568,200
145.57143254093182,220
143.878926159792,240
179.1230322532238,260
221.24041401147568,280
177.00391164309517,300
238.43430590032003,320
249.23209115904322,340
224.59967703565567,360
244.41793259216342,380
256.808381536678,400
270.4996654818925,420
270.93218614808904,440
287.9191240699225,460
286.6006988049816,480
302.93416360946986,500
440.4140938604768,520
444.40809116719686,540
450.60600128019365,560
449.0282752015491,580
478.33364072183184,600
710.0083518841546,620
736.4382020314504,640
749.8719034560563,660
762.177839415958,680
772.3817657272132,700
815.4301001207443,720
812.4167821592529,740
985.5046717100082,760
951.4245630318752,780
1040.3755115009212,800
989.9526925184192,820
1078.4568366472631,840
965.3575223523038,860
1091.4003841248077,880
1021.1260398176581,900
1057.709156711353,920
1132.0961942589884,940
987.3172327828663,960
1139.2008550972805,980
1118.321616806088,1000
1077.4030170858018,1020
1055.3926858108682,1040
1071.3597468543321,1060
1093.569537999051,1080
1304.917624492362,1100
1175.9130093741842,1120
1202.9191966572612,1140
1181.0772056934281,1160
1149.2902520134442,1180
1150.9553559304074,1200
1175.8117769636458,1220
1153.5701667352023,1240
1143.9641648293853,1260
1083.2953678761965,1280
1102.540509844309,1300
1146.9808913685033,1320
1132.5635155154819,1340
1142.5297000714127,1360
1148.8620277343898,1380
1198.4772890465642,1400
1196.7205765795945,1420
1131.8216389339418,1440
1218.8532645204828,1460
1197.8249837196508,1480
1250.7104907243033,1500
1269.3843672024936,1520
1247.1924324154927,1540
1269.852409861654,1560
1324.2036809683873,1580
1344.7020221085097,1600
1308.6492703113104,1620
1412.1778836708097,1640
1301.302128196825,1660
1308.8133785720606,1680
1183.705556124819,1700
1347.2792769866992,1720
1355.5888443272468,1740
1379.550205211593,1760
1465.3047213063614,1780
1269.7784906182474,1800
1409.7125176948575,1820
1346.16507688561,1840
1353.140630231312,1860
1422.562458959475,1880
1491.889189879535,1900
1560.557964684151,1920
1461.1529396052933,1940
1550.8249860370752,1960
1539.3868101915432,1980
1639.34962939999,2000
