PolicyLoss,_max_obs,_min_act,_std_adv,ValFuncLoss,_mean_obs,ExplainedVarOld,_std_act,_min_adv,_std_discrew,_MeanReward,_max_adv,Beta,Steps,KL,_max_discrew,_lr_multiplier,_max_act,_mean_act,ExplainedVarNew,PolicyEntropy,_mean_discrew,_min_discrew,_Episode,_min_obs,_mean_adv,_std_obs
-0.015558816,1.3786201637087425,-1.9410788,0.9999766542733871,0.0027096841019880564,0.006496057376208387,-12.73155039886481,0.40954903,-1.9911827109907754,0.0006543016469260576,9.344669982530263,4.144411963278652,1.0,332,0.0053931614,0.11610060262406102,1.0,1.9755664,-0.064392775,-1.7716297366575944,2.7585542,0.015461167564434325,-0.028909998364262557,20,-1.4309727628299878,4.815425167048872e-17,0.048471919816355576
-0.016618483,1.1473768296924078,-1.9866867,0.9999747693150354,0.0054726188307482795,0.03127832003762969,-0.14198382153022782,0.40436032,-2.4208831635758017,0.007661890296747627,16.131108151296168,3.2350381479772987,1.0,365,0.002477395,0.39074915777518476,1.0,2.1948354,0.0430769,0.28719661038695,2.7591918,0.05667297577657525,-0.027762843972352024,40,-1.4845080651306652,0.0,0.06216044051754774
-0.008269671,1.1572531085049023,-2.5475821,0.9999741875715298,0.006579493962457718,0.01718148991484392,0.18173444755520218,0.4179418,-2.8690149984703113,0.00838562383010392,16.001199070353643,3.685240257489969,1.0,439,0.001988417,0.3879859782266981,1.0,1.7866104,-0.02444338,0.22405007642392694,2.760925,0.051709293413842165,-0.03548518818637549,60,-1.286091731578019,8.092741865149204e-18,0.07385140124761906
-0.014051318,1.0504406183402786,-2.054222,0.9999648163158329,0.004027129140152048,0.015179282898882278,0.27908777555745745,0.43328905,-2.211048530632043,0.005268925223074304,17.145772739848965,3.5128660834452927,1.0,426,0.0017479421,0.28785583120419583,1.0,2.1092677,0.013598981,0.24344150841200096,2.7638712,0.049183074042914034,-0.032055002230572685,80,-1.3687012197549027,2.5019110414088035e-17,0.05466902334643723
-0.016495196,1.7145014993093401,-1.9523296,0.999978835623553,0.015243362460021755,0.026019966498115048,-0.1317403246073583,0.40688786,-1.8552457505180535,0.017234692688122156,24.320426759470273,2.8466091616781126,1.0,450,0.0050210827,0.48633995189718154,1.0,2.1445913,0.10427085,0.11635784417159845,2.7653537,0.10778539480094519,-0.02806532802985913,100,-1.673794337033635,3.157967714489334e-17,0.06437049584890579
-0.007692443,0.8958877560513587,-2.264026,0.9999732925324256,0.008189241605827359,0.01562549712358767,0.42548436197493666,0.4268885,-2.3043300581903727,0.013237812069856282,22.133123893620922,3.320814280110515,1.0,474,0.002796785,0.4159101647015729,1.0,2.1380146,0.036722764,0.3840122160540169,2.7671478,0.08097072213021844,-0.025144011425663554,120,-1.1456103623945075,4.4971059225322796e-17,0.05868637729317173
-0.016324373,1.031070381523291,-1.9854679,0.9999795812836266,0.011563608605841118,-0.0008525605021484201,0.24820214909307037,0.41369793,-2.2262132010217766,0.022277844357292124,22.826801644981984,2.853320626523549,1.0,469,0.003113156,0.5885483640581349,1.0,2.07834,0.031168154,0.48534764715048717,2.7690415,0.09906602055480124,-0.02271940128117843,140,-1.3011415540276121,3.030032988315992e-17,0.06170336585943648
-0.008688187,1.1580978682022482,-2.0922399,0.9999836862113995,0.0314928156572443,0.01749545923324422,0.2787348471033897,0.40775833,-1.5192453153401204,0.04409353549953936,30.837077429295608,3.271797632035067,1.0,610,0.0034288238,0.776907850777316,1.0,2.2460968,0.032993983,0.28578336846417707,2.7697601,0.13490088179034454,-0.03517868347996757,160,-1.4561301843864156,-4.659296627935083e-17,0.065013045700497
-0.009355314,1.156584591515759,-1.8422457,0.9999695123436247,0.003348058614288633,-0.017645214313879477,-2.816454854152189,0.40809175,-2.190777420230214,0.0012882466957482338,12.661138226381372,3.0664015222312124,0.6666666666666666,397,0.0014236853,0.17215192559341697,1.0,2.1482244,-0.034543443,-1.2599302988401582,2.7701516,0.028575053636780635,-0.020476885749625463,180,-1.2809170923271016,3.579560381662973e-17,0.03951804847538783
-0.006486561,1.5885655287831992,-2.15352,0.9999870567060669,0.0201470818752435,0.04397430513456133,-0.2022299681554247,0.4009019,-2.636817009333905,0.02476601596006187,35.32721613305768,2.6902211845809276,0.6666666666666666,599,0.0015826329,0.5599953496373156,1.0,2.1905947,0.067991,0.1956639668878951,2.770224,0.15468231469046567,-0.033799051987640744,200,-1.6490483543958632,-2.372429835592989e-17,0.07438890863324656
