KL,_Episode,_std_obs,PolicyEntropy,_max_obs,Beta,_std_adv,_MeanReward,_mean_adv,_max_adv,_mean_obs,_max_discrew,PolicyLoss,_std_discrew,_mean_discrew,_lr_multiplier,_mean_act,Steps,_min_obs,_min_discrew,_min_adv,ExplainedVarNew,ValFuncLoss,ExplainedVarOld,_max_act,_min_act,_std_act
0.0005031582,20,0.09244793427016788,5.514695,0.8111952454840491,0.6666666666666666,0.9999735267561586,3.0386528891121065,-1.6829786681359342e-17,2.0700867836778944,-0.0718611734126104,0.05355290941294276,-0.011048166,0.0002819647313976004,0.009162858566404822,1.0,0.037032224,409,-1.5863102371642535,-0.02485400878754675,-3.114524902780698,-16.398198398922244,0.006275221337104037,-19.744984277952167,2.200926,-2.5872436,0.3954072
0.00030127395,40,0.0799767755342458,5.5139003,0.8656710729344899,0.4444444444444444,0.9999671742172204,0.4023211510158003,-4.386066270124075e-18,2.687906594801555,-0.03426449740696678,0.03729317222724567,-0.0042330474,0.0002304252882832616,-0.0054953912117161035,1.0,0.0060234903,405,-1.292292745261866,-0.038203393455233735,-2.861779282470912,-12.095548848819778,0.0032483924922615376,-15.818661564688284,2.0584664,-2.448372,0.42024693
0.00020823344,60,0.07368806204519936,5.5136714,0.8713787985819218,0.2962962962962963,0.9999642022699697,0.6953482451648467,-1.3734717830414308e-17,2.4948711587727024,-0.010523878215160052,0.04155154181115719,-0.0030617076,0.0002571017440473611,-0.0016218045225261624,1.0,-0.011913543,388,-1.0851588771761258,-0.04763388251096621,-2.6911398205564465,-4.684021583080739,0.001605065725078676,-12.381545936351634,2.0341992,-2.2767935,0.41981652
0.00018422968,80,0.08738465420663644,5.513363,0.9014582383899996,0.19753086419753085,0.9999498834331472,1.970607884252167,-2.4278225595447615e-17,2.8897795094691263,-0.016489202813845524,0.05091752430885455,-0.0032090866,0.00023328917221062854,0.002730423455070041,1.0,0.015490481,439,-1.2246369653168852,-0.02403004228019954,-2.4730883947878564,-3.431959331258512,0.0010348689147950765,-6.203200718700201,2.0397925,-2.3635983,0.41768765
0.0001915032,100,0.08171240359556514,5.513208,0.8948912680217099,0.1316872427983539,0.9999263383864361,3.065539729952626,-1.4650365685775262e-17,2.467975185385671,-0.01554964494952529,0.06203664407188432,-0.0047754254,0.0004007891130444146,0.00858629927108948,1.0,0.031309683,485,-1.1814946494764142,-0.027042998915263246,-3.4328338406065586,-1.8443330710225707,0.0011400425106974726,-1.2230406964386291,2.37419,-2.0761452,0.4168292
0.00013059292,120,0.08237631425856481,5.512983,0.8808421906691185,0.0877914951989026,0.9999265603340511,0.6761976483975431,-1.2748972531580745e-17,3.098255725801753,-0.015905275740906895,0.04238310124024085,-0.002518625,0.00020043447928044263,-0.0005130776067064458,1.0,0.015133397,418,-1.0985184257984164,-0.03352620405802435,-2.1570404428126193,-4.905011266676435,0.0011890064561448188,-2.94645780757704,2.226985,-2.3743904,0.41830257
7.0274e-05,140,0.07922971754627722,5.5128264,0.8829673946205799,0.05852766346593507,0.999950228196935,1.586945334821213,0.0,2.7467099338198544,-0.004266623010573101,0.04959316088932624,-0.00052926136,0.000321919091966965,0.00015190449183173944,1.0,-0.012504988,485,-1.1343725944586724,-0.04712269466484862,-2.6227392254175115,-5.039939185089609,0.001975032150228143,-4.240108914384873,2.2198129,-2.012381,0.3955976
7.8834804e-05,160,0.07938061682023859,5.512611,0.8815893590879373,0.03901844231062338,0.9999496623776764,1.71544733272022,1.3841741605716237e-17,2.3657763093379938,-0.003576107854730789,0.04987690796401629,-0.002795681,0.0002491466896746693,0.005621333111393619,1.0,0.026248185,385,-1.2734290918197808,-0.033733367634118994,-3.2391479931510547,-5.4854718203475015,0.0016568034705545971,-5.583528457204087,2.1596122,-2.2969413,0.42417443
7.937769e-05,180,0.07623561128154005,5.512469,0.8864926731544228,0.02857142857142857,0.999946747302799,0.6509469643224948,-4.0473953302790517e-17,2.7884400074713898,-0.00851630666343364,0.05153074640434933,-0.0030680143,0.0001983400010323671,-0.0015856284973048342,1.5,0.005631862,395,-1.0947144894160545,-0.028834781503875417,-2.5697245412834966,-4.8494311432369,0.0011718965521108264,-6.329881481430797,2.0073068,-1.8660493,0.39915004
0.00016666648,200,0.07659108030409442,5.512163,0.889557553668663,0.02857142857142857,0.9999467975824968,2.9299279231196853,-2.2149087773070456e-17,2.4846952935207254,0.002719481213029359,0.06471527397687253,-0.0037997947,0.0003433283508300835,0.00814034324123969,2.25,0.0029310363,401,-0.9403565569341245,-0.030833431662151214,-3.6272065145386754,-2.604881748009925,0.0012523883518981628,-3.5136949497122743,2.152258,-1.9319167,0.39917076
