_mean_act,_std_obs,_std_adv,_MeanReward,_min_act,_max_discrew,PolicyEntropy,KL,PolicyLoss,_max_obs,_std_act,ExplainedVarOld,Steps,_lr_multiplier,_std_discrew,_mean_discrew,_max_act,_min_obs,_Episode,_min_adv,_min_discrew,_mean_adv,ExplainedVarNew,Beta,ValFuncLoss,_mean_obs,_max_adv
0.05917509,0.05902645062651445,0.9999858411702333,15.350151361974,-2.2863626,0.1758016572997501,2.757164,0.00035003113,-0.0028734475,1.2963597356268866,0.38051257,-13.270479590391549,562,1.0,0.0014730581171662185,0.030429755213635168,2.1448023,-1.5046537909550894,20,-2.6519073178659895,-0.013639575450085706,-1.5803886471532477e-18,-1.2883875514218426,0.6666666666666666,0.0052756552290086954,0.061917398959566154,2.5741075004086595
-0.006621599,0.05385287973788403,0.999945259365096,13.32654192434767,-1.9759539,0.16587079923695,2.7571883,7.138837e-05,-0.0017090624,1.2328569895550758,0.40646836,-0.9297097012400592,424,1.0,0.0010040200738086593,0.027556825021210984,1.6556208,-1.6283716384466345,40,-3.288524984957878,-0.011094872662051029,-1.8433891729625242e-16,-0.4069432934263917,0.4444444444444444,0.0029296601913017133,-0.005286368765978406,3.8232911617119725
0.020388756,0.0517148092209157,0.9999542857942404,16.45393538258105,-2.345579,0.20540466002417027,2.756868,6.84383e-05,-0.0017260058,1.1987195629636123,0.41909656,-0.5112128194496088,490,1.0,0.0016264610122667283,0.03599010363538048,2.1076415,-1.5906151505187962,60,-2.207516367823052,-0.011594000366792919,2.9001744316738786e-17,-1.3072357216427912,0.2962962962962963,0.0038056603074661183,0.012173620619083614,3.8077251530233065
-0.009492564,0.04869169953035176,0.9999638489757197,14.45976181527961,-2.122437,0.11785240372129359,2.7568867,9.4592186e-05,-0.0019507637,0.9970246709019985,0.41127872,-2.5965532120163,465,1.0,0.0008878384849671267,0.028709132531578748,1.8884908,-1.3486782084286886,80,-2.6452394204597707,-0.02134661320377084,-2.6740855646885492e-17,-4.573159684351201,0.19753086419753085,0.005025700062001203,0.0014360925313896028,3.506034769919796
0.051221836,0.05068840511495979,0.999976565436732,21.97782097529635,-2.0165446,0.43301573050513276,2.756669,5.2779218e-05,-0.0015838176,1.106717058404964,0.39635578,-0.16045697477493315,559,1.0,0.008617719776882974,0.06870406399212932,2.154603,-1.4198481306590531,100,-2.4437577057123647,-0.008144165171636866,9.533220962792041e-18,-0.1251974617461351,0.1316872427983539,0.010074880426396324,0.026769951503264226,3.8395292364007214
0.010630588,0.05687300144419674,0.9999797879359911,19.604987749796535,-2.2952952,0.4830899043638041,2.7564359,4.49608e-05,-0.0016655524,1.5204042183395792,0.45047674,0.015407390954514377,492,1.0,0.01391197180390325,0.07850564808999842,2.0256522,-1.5553046593715545,120,-2.380429921082811,-0.011693775204234029,0.0,0.07880759136073578,0.0877914951989026,0.012901140864097469,0.012008531275411613,3.6288142312493847
0.045097426,0.047182781531427104,0.9999722690573222,18.0099254859852,-2.2960787,0.2539504997135237,2.7560825,3.5007546e-05,-0.0014002763,1.0038555752361666,0.41438508,-0.8963128732618513,480,1.0,0.0028094724630055895,0.05165998612309486,2.135756,-1.3610051178675806,140,-3.2731756091575317,-0.007333468457366937,-7.401486830834377e-18,-0.6754155136499529,0.05852766346593507,0.00599035051154882,0.0072407723329196896,3.0718173832529176
0.03934811,0.058476086659128124,0.9999734934337062,18.00974751880278,-2.1549337,0.2825276653078308,2.7557962,4.0186413e-05,-0.0014557927,1.2574580355332927,0.3784872,-0.7259996792759857,472,1.0,0.003655386164911013,0.049269647525081124,2.2006922,-1.3295468815254932,160,-3.660879980404378,-0.019201496292506146,3.010774304068221e-17,-0.4172706305751457,0.03901844231062338,0.006066977965654516,0.006835114665741029,3.003453220937323
0.028736308,0.04785835867375963,0.9999715583200294,16.300854073475286,-2.2869794,0.22801797090795994,2.755555,4.205436e-05,-0.0011834528,1.172329760507073,0.40649775,-1.1441901320400834,454,1.5,0.0024893797321130845,0.04598996932106547,2.1555269,-1.4468392452302712,180,-2.5565149061766044,-0.010261367918490229,2.347608157797688e-17,-0.5800042538673231,0.02857142857142857,0.004595459743038601,-0.003511679219737919,3.803077944030917
0.008739568,0.05227929878298443,0.9999674332078283,17.583613681170778,-1.9518216,0.3757540728485559,2.7555232,0.00016743854,-0.0039687245,1.0931740483485273,0.36322474,0.23430364402270765,472,2.25,0.006563956554682361,0.054144647218978825,1.8149794,-1.2738833327172263,200,-2.4439762576166313,-0.008380974811034867,-1.5053871520341106e-17,0.2716284176463375,0.02857142857142857,0.004923221992586187,0.0023124042370683737,3.8580519077234365
0.0056641437,0.04749619892039087,0.9999421846994916,13.54606781722074,-1.9291731,0.22197937010103805,2.7560153,0.00029149733,-0.004877169,0.9896873243677774,0.4036219,0.25116296026651297,405,3.375,0.0017612552299596182,0.03282941058726033,2.0028458,-1.2493782399892306,220,-2.412804025424687,-0.005750731843446364,-1.75442650804963e-17,0.3014585284037258,0.02857142857142857,0.001669784778544289,-0.0163436385811388,3.851330850722228
0.015998203,0.047297106581477365,0.999951479444872,17.08256956379884,-2.0752752,0.2869252118889213,2.756662,0.0007718987,-0.007604588,1.1510648115846047,0.35894635,0.26385967283525225,501,5.0625,0.003415507902723262,0.046101374409290255,2.3447871,-1.301398620154772,240,-1.768600998195508,-0.012985412059717849,0.0,0.24554598994416188,0.02857142857142857,0.0025773286655926325,0.00401653932934946,3.476727836047138
