_MeanReward,_Episode
1.9607131840067689,20
2.38011303711925,40
1.0874225604183203,60
3.1730684435193033,80
2.8861106728738157,100
1.5928562088599514,120
4.0829118823594825,140
3.725260281150337,160
9.659806637334476,180
18.474337911301912,200
14.108991291927993,220
9.442390964452347,240
31.873072575413648,260
18.36162509592582,280
21.598566829730068,300
10.906678604492297,320
18.253069539839156,340
34.2338398515967,360
46.105095787780115,380
38.16906628308315,400
50.4600909962856,420
41.226391519147796,440
75.62508404099714,460
20.472319135845968,480
53.13927466690511,500
51.58860855244277,520
119.20229056602336,540
99.04068062627616,560
73.12893841901129,580
156.9287301698343,600
122.176207586014,620
144.68030102938926,640
212.805475322875,660
211.5813511312989,680
181.3627873967744,700
227.56302861212743,720
256.6510433126158,740
242.59085164210705,760
256.0877488460816,780
250.81857907294125,800
258.5885532991309,820
277.0423748273318,840
259.7213856632569,860
263.36431328718743,880
288.9246185345469,900
314.7966540571456,920
260.53877789338446,940
271.24708510668404,960
271.9964158086488,980
315.60700941253407,1000
447.86285567237286,1020
401.85229422905905,1040
422.8215526028728,1060
436.808622685234,1080
431.5589974958685,1100
393.8473493899602,1120
423.2505782825048,1140
415.17314707700905,1160
378.93494466464006,1180
412.60178271950963,1200
411.33276065194457,1220
404.5459661501715,1240
417.72225969129164,1260
434.6004413965015,1280
427.50886324718806,1300
408.4814912054828,1320
409.1907360383023,1340
428.02324594770187,1360
435.10979084699227,1380
417.8075534323603,1400
414.1463851635133,1420
415.8772976550416,1440
405.20093936753375,1460
439.69821204650435,1480
453.52389672669136,1500
542.0542162382985,1520
579.3565510172242,1540
557.4021330496723,1560
555.3463262442806,1580
563.9681435169935,1600
539.5116249978398,1620
543.4660918333643,1640
564.8725152073307,1660
583.6301010715028,1680
552.7001123170006,1700
700.33403133304,1720
706.7189519542852,1740
671.1187051311501,1760
686.6120989731602,1780
670.2385723634147,1800
716.4308590935559,1820
736.1627301637836,1840
719.1616871730721,1860
753.4971285874799,1880
750.9890397478871,1900
736.6467860458486,1920
744.9323418570505,1940
762.0802927262816,1960
739.7182970858169,1980
736.5927498747683,2000
