Target_Reward,Total_Episode
96.0,20
63.0,40
50.0,60
86.0,80
81.0,100
82.0,120
63.0,140
76.0,160
90.0,180
78.0,200
72.0,220
63.0,240
90.0,260
57.0,280
84.0,300
77.0,320
97.0,340
75.0,360
75.0,380
82.0,400
79.0,420
59.0,440
77.0,460
67.0,480
79.0,500
73.15775289568981,520
81.99719016599374,540
89.76888364771618,560
97.47904742659674,580
132.1088458417973,600
114.75778120587368,620
112.15721485344028,640
165.34038129538826,660
145.971732284836,680
170.97602714777318,700
139.0518928325211,720
135.41036682064208,740
128.72777276884136,760
101.15800945803804,780
107.83833773009798,800
72.0126566408272,820
103.6351656279236,840
158.21353954362675,860
73.42160289830878,880
206.24274092308,900
235.0783148708637,920
212.75659651419272,940
246.4594390393319,960
183.8251643756868,980
210.00991770351882,1000
231.02681519182727,1020
183.5037663541786,1040
242.33525029997318,1060
113.01987519029541,1080
249.0,1100
220.0,1120
264.0,1140
223.8542117233173,1160
207.70310458709167,1180
212.0,1200
135.7370597833564,1220
217.58059107721598,1240
221.9979965544356,1260
137.6110137911997,1280
153.76013386104557,1300
149.17326681175862,1320
212.10981463222504,1340
219.19397430679768,1360
199.6307572269693,1380
178.77024861785316,1400
227.0,1420
218.379431644885,1440
233.5077764636444,1460
237.85216249750042,1480
220.0,1500
240.31515003560685,1520
248.56423319045655,1540
209.2677237478857,1560
273.0,1580
279.0,1600
235.0,1620
286.0,1640
223.0,1660
253.0,1680
282.0,1700
239.0,1720
227.0,1740
224.0,1760
275.0,1780
215.0,1800
279.0,1820
266.0,1840
205.0,1860
233.0,1880
273.0,1900
224.0,1920
260.0,1940
238.0,1960
273.0,1980
229.0,2000
